日期	问题jira链接+摘要	收集到的信息	产品Agent判断	准确率标注	吴优	状态	复盘后的产品Agent判断	备注	相关文档
2026-07-07	PC-36290｜目的地修改到清华大学失败	Jira：目的地修改到清华大学失败；语音下发1209，poi_name=清华大学、poi_ref=destination、action=poi_correction；本次列表新增PC-37186同类，嘉麟融府也因destination周边搜索/召回失败。	解决：并入PC-37186统一会诊；地图研发处理poi_correction场景下poi_ref、搜索范围和召回策略。	TRUE	模型标注无法修改，转车端看兼容问题。	可转研发	复盘后：现象不可接受，拉杨浩翔、陈云等研发会诊；用手机高德同query做对照。	本次列表已复核：与PC-37186同类，统一拉杨浩翔、陈云/程云等地图执行链路会诊。准确率：基本对，需会诊。	Jira多方评论；深蓝8155地图/语音仅MasterGo UE。
2026-07-07	PC-35722｜打电话10086低概率拒识	Jira：打电话给10086低概率拒识；日志已下发meta_id=1061，with_number.canonical=10086，车端历史逻辑读取literal导致异常；Alchemy 1341/深蓝24489均支持号码拨打。	解决：拨号执行改为取with_number.canonical；literal只保留原始识别文本/展示用途。转SDK/BTPhone修离线后处理和取号逻辑。	TRUE	转研发修离线后处理和取号逻辑。	可转研发	复核后：不转需求，评论后转SDK/BTPhone按canonical取号修复。	SDK/BTPhone处理；雷磊侧修取号逻辑，必要时同步语音本地化接入说明。准确率：对。	Jira PC-35722；Alchemy 1061/标准功能1341；深蓝项目点24489；蓝牙电话UE仅MasterGo。
2026-07-07	PC-35462｜华为ADS可见即可说拒识	Jira：选择华为ADS拒识；车端节点subjects仅ads/导航，当前Alchemy测试仍落1919不支持；吴优已评论“Bug转需求”，熊东森要求补需求票链接。	解决：建需求补“华为 ADS/华为 ads”等说法泛化，关联原bug；建好后把需求票链接贴回PC-35462。	TRUE	补“华为ADS/华为 ads”等别名/subject泛化。	转需求	复核后：建需求补“华为 ADS/华为 ads”等说法泛化，关联原bug，原bug按workaround/bug转需求关闭。	本次列表已复核：下一步是补需求票链接，不再补泛泛“产品确认”。准确率：对，但动作需补齐。	Jira PC-35462；Alchemy当前测试为1919兜底；语音形象&GUI仅MasterGo UE。
2026-07-07	HUR-81528｜阿语蓝牙联系人字段显示英文	Jira：阿语系统下蓝牙电话联系人详情“手机”显示为英文；开发评论称字段来自系统数据，不是BTPhone本地翻译。	解决：先问一星确认“系统数据返回”是否读取手机/系统字段；若是，接受现状关闭；若车端可控，再转BTPhone补本地化。	FALSE	漏了字段，将最新阿拉伯本地化转研发。	待确认	复核后：先问一星数据来源；确认是系统/手机字段后可接受现状关闭。	一星/BTPhone确认数据来源；不要直接判BTPhone本地化缺口。准确率：需修正。	Jira HUR-81528；截图；易昕评论系统数据返回。
2026-07-07	HUR-81030｜阿语拨号10086显示数字	Jira：阿语环境拨打10086，上屏显示数字“10086”；测试期望显示阿拉伯语数字。	解决：电话号码作为拨号标识保留canonical数字串10086，不转换成阿拉伯语数字/文字；评论后按非问题关闭并同步测试改预期。	TRUE	不是问题，关闭。	可关闭	复核后：按非问题关闭，电话号码显示保留10086。	吴优评论并关闭；测试侧修改用例预期。准确率：对。	Jira HUR-81030；视频附件；测试评论询问数字显示规则。
2026-07-07	HUR-80609｜阿语退出露营模式toast英文	Jira：阿语退出露营模式toast显示英文；周俊言已登记并将状态置Pending，等待新版本返回。	解决：保持Pending，等新版本回归；回归时确认退出露营模式toast已改为阿语。	TRUE	校验新版本是否修改。	待回归	复核后：不再新增动作，等新版本回归验证阿语toast。	周俊言/视觉文言处理；测试新版本复验。准确率：对。	Jira HUR-80609；视频附件；周俊言评论已登记。
2026-07-07	HUR-80518｜低功耗模式阿语文案错误	Jira：阿语真人测试反馈恒温座舱低功耗模式文案错误；周俊言已登记并置Pending。	解决：保持Pending，等新版本回归；回归时确认低功耗模式阿语文案显示为正确翻译。	TRUE	校验新版本是否修改。	待回归	复核后：等新版本回归验证低功耗模式阿语文案。	周俊言/视觉文言处理；测试新版本复验。准确率：对。	Jira HUR-80518；截图；周俊言评论已登记。
2026-07-07	HUR-80515｜露营模式误翻舒适模式	Jira：阿语“露营模式”被翻成“舒适模式”；预期为 وضع التخييم；周俊言已登记并置Pending。	解决：保持Pending，等新版本回归；回归时确认露营模式不再误翻为舒适模式。	TRUE	校验新版本是否修改。	待回归	复核后：等新版本回归验证露营模式阿语翻译。	周俊言/视觉文言处理；测试新版本复验。准确率：对。	Jira HUR-80515；截图；周俊言评论已登记。
2026-07-07	HUR-80396｜离线查家地址错误TTS	Jira：离线查家地址pre-hint已修，但回归播“页面已打开，现在你可以手动操作”；黄文评论确认1039第三条TTS不应存在，关联HUR-79577。	解决：转语音平台/播报配置删除或修正1039错误TTS；配置后按HUR-79577同类场景回归。	FALSE		可转语音	复核后：删/修1039错误TTS后回归，不再播手动操作。	语音平台/播报配置处理；HUR项目1039以Jira实际配置为准，当前Alchemy入口不适用。	Jira HUR-80396；黄文评论1039第三项TTS；关联HUR-79577。
2026-07-07	HUR-80390｜I’m hungry英文弹窗显示中文餐厅	Jira：英文“I’m hungry”命中1209，poi_tag canonical=restaurant但literal=餐厅，导致EL英文地址弹窗显示中文；1209标准功能支持口语化“我饿了”导航餐馆。	解决：拉语音平台+地图/泰为对齐本地化展示；语音不要把中文literal作为UI文案，地图或语音按restaurant输出英文展示。	FALSE		待会诊	复核后：会诊语音+地图，修restaurant本地化展示链路。	语音平台+地图/泰为处理；确认display text来源和restaurant本地化映射责任。	Jira HUR-80390；Alchemy 1209/标准功能1433；关联HUR-79575。
2026-07-07	HUR-80125｜阿语离线go to airport拒识	Jira：阿拉伯配置离线场景query “go to airport”拒识；日志useCloudResponse=false，研发说明导航在线功能走到离线，测试称阿拉伯配置无在线切换。	解决：当前离线阿语配置不要求执行在线机场POI搜索；评论后按测试预期不成立关闭，若客户要求离线机场POI再另走需求。	FALSE		可关闭	复核后：按非问题关闭；离线机场POI另提需求。	吴优评论并关闭；测试侧修改离线场景预期。	Jira HUR-80125；日志useCloudResponse=false；聂汉维/朱雪豪评论。
2026-07-07	HUR-81582｜洗车模式可语音关闭隐私模式	"现象：洗车模式开启后，语音‘关闭隐私模式’可实际关闭隐私模式。[Jira原票·描述/完整评论]
当前实现：Alchemy HUR将原话路由至MetaId 1126，mode=privacy、op=close。[Alchemy当前·1126]
正式资料：可读《智能情景模式功能定义V4.9》将隐私模式指向独立PRD，自动洗车模式业务流程标注待补，未定义J90A该互锁。[情景模式功能定义V4.9·隐私模式设置/13.自动洗车模式设置]"	"结论：定义为待复核。当前语音平台会按1126直接关闭隐私模式；可读正式情景模式文档仅将隐私模式指向独立PRD，且自动洗车模式业务流程标注待补，尚不能确认J90A是否正式要求洗车模式中保持隐私模式开启。
依据：Jira原票及2026-07-06评论；Alchemy HUR当前1126；[情景模式功能定义V4.9]隐私模式设置/13.自动洗车模式设置。
处理：补齐并确认J90A生效PRD中的洗车模式与隐私模式前置/互锁条款后再决定补语音需求或按现有设计关闭；J90A情景模式产品负责人处理。"	FALSE		待复核	复核后：补语音前置条件需求，不直接按现状关闭。	需J90A生效PRD明确洗车模式与隐私模式互锁；确认后再补语音前置条件/TTS或关闭本票。	"Jira原票·描述/完整评论
Alchemy当前·1126
情景模式功能定义V4.9"
2026-07-07	SLV-43932｜深蓝管家链接卡片弹窗消失	Jira：深蓝管家链接卡片在功能页面点击链接后弹窗消失；评论明确页面优先级需要产品定义，深蓝8155未找到直接条目。	解决：产品定义为点击深蓝管家链接后应先完成链接跳转/目标页展示，不应仅因App List层级直接关闭卡片；转需求给SystemUI+Voice/UI补页面优先级和弹窗关闭策略。	FALSE	定义为点击深蓝管家链接后应先完成链接跳转/目标页展示，不应仅因App List层级直接关闭卡片	转需求		页面优先级由产品定义；拆SystemUI层级策略和Voice/UI卡片关闭策略，Jira不按现状关闭。	Jira SLV-43932；谭威/熊双林评论；附件video_1782382284.mp4/video_1782382300.mp4；深蓝8155未命中直接资料。
2026-07-07	ADS-45395｜类别词途经点先搜索展示	Jira：路径规划“导航去奥体中心途经银行和药店”会搜索途经点第一个展示；评论中许俊判非导航问题，缪湾湾说明非明确地点会先执行地点搜索再导航；工作说明里8295地图仅见模块入口，未见明确类别途经点规则。	解决：转需求补“类别词作为途经点”的产品规则，写清银行/药店这类非明确地点的搜索、确认和导航策略。	FALSE	跟开发明确bug原因	转需求		模块：AI Cockpit - Voice/执行；P1；当前经办人吴优；涉及语音LLM/导航交互规则，不是单纯地图问题。	Jira ADS-45395；reqid eab9c225-139e-4eb6-9598-75ffabe52e8b；深蓝8295/8155地图背景页未见明确规则。
2026-07-07	ADS-45496｜充电电流TTS调到听成掉到	Jira：充电电流设为8/10/16/32A后实际播报“掉到”；在线命中1495，深蓝24599当前TTS为“已把充电电流限值调到$VALUE$”。	解决：转语音/TTS配置修改充电电流播报模板，避免使用“调到”，优先用“已设置为$VALUE$”。	FALSE	TTS配置修改充电电流播报模板，避免使用“调到”，优先用“已设置为$VALUE$”。	可转语音	复核后：转TTS实现/资源，修正实际“掉到”为深蓝24599当前正式TTS“已把充电电流限值调到$VALUE$”。	标准1494、深蓝24599均为继承未修改；不改NLU。	http://jira.i-tetris.com/browse/ADS-45496；https://alchemy.i-tetris.com/#/functional/points/detail/1494；https://alchemy.i-tetris.com/#/functional/projectPoints/detail/24599
2026-07-07	ADS-45508｜恒温座舱上电出现启动动画	Jira确认当前版本无冷启动；恒温座舱V1.4未定义上电后保持设置页。	关闭：现行需求不要求上电后保持恒温座舱页；测试按当前版本视频验收。	FALSE	转测试	可关闭		回归仅确认无真实重启或启动动画覆盖业务界面。	http://jira.i-tetris.com/browse/ADS-45508；https://drive.google.com/file/d/1MqzCb98nndXk541F7IfxRwuyUCu5uUlu
2026-07-07	ADS-45520｜场景积木新手引导缺分享和快捷场景	客户PRD V1.2/V1.3均要求8项引导，包含场景分享和快捷场景；当前7张已含快捷场景，仅缺分享场景。	解决：按V1.3补齐两张新手引导；场景积木研发与UI处理。	FALSE	转场景积木研发，按已下发V1.2补齐“场景分享、快捷场景”新手引导。	可转研发	按客户PRD执行：保留现有快捷场景引导，由余玲在UE补1张“场景分享”引导，UI/研发按UE实现；未收到客户正式PRD变更前不得删除。	若8155取消场景分享，须由客户先更新PRD，再同步删减UE和测试预期。	http://jira.i-tetris.com/browse/ADS-45520；https://drive.google.com/file/d/14rpzfX2IPw7CeuB_iKoikERN5Q_wKdL9
2026-07-08	PC-37264｜车牌编辑未回填完整车牌号	Jira：已保存京BNC090后再编辑只回填“京”，程云说明当前只传default_province且控件无完整车牌回填接口；工作说明：深蓝8155有地图UE入口，未见车牌编辑单独需求文档。	解决：车牌编辑应回填完整已保存车牌；转地图研发补完整车牌传参和CarPlateInputView回填能力。	FALSE	车牌编辑应回填完整已保存车牌；转地图研发补完整车牌传参和CarPlateInputView回填能力。	可转研发		责任方：地图研发/程云；这是编辑场景基本预期，不只回填省份。	Jira PC-37264；深蓝8155地图UE入口。
2026-07-08	PC-37249｜打开地图偏好设置页面提示无页面	Jira：query“打开地图偏好设置页面”返回无页面，评论称metaId=1305由Mars实现且甘杰未收到需求；Alchemy：命中1305 app:ctrl，target=地图偏好，setting=设置；工作说明：深蓝8155有地图UE入口。	解决：按1305打开页面能力处理；若深蓝有地图偏好设置页，转Mars/地图补页面关键字映射和打开策略。	FALSE		待确认		先核对地图HMI是否存在独立“地图偏好设置”页；无独立页面再关闭测试预期。	Jira PC-37249；Alchemy 1305；标准功能1423；深蓝8155地图UE入口。
2026-07-08	PC-37220｜打开高德地图提示未找到	Jira：ASR正确，NLU下发metaId=1305 app:ctrl，target canonical=gaode/literal=高德地图；Alchemy同样命中1305；标准功能1423示例包含高德地图/百度地图/花瓣地图；工作说明：深蓝8155有地图UE入口。	解决：支持“打开高德地图”作为导航入口说法；转Mars/地图补gaode到导航应用/页面的映射，不按无效关闭。	FALSE		可转研发		责任方：Mars/地图；若HMI只显示“导航”，也要兼容用户按底层地图品牌叫法。	Jira PC-37220；Alchemy 1305；标准功能1423；深蓝8155地图UE入口。
2026-07-08	PC-37186｜变更目的地后搜索嘉麟融府失败	Jira：前置“我要变更目的地”后“嘉麟融府”被NLU下发1209，poi_name正确但地图按destination周边5km搜索返回空，且麟/粼不一致；Alchemy多轮也落1209 navi:dest:search；工作说明：深蓝8155有地图UE入口。	解决：并入PC-36290会诊；地图研发处理poi_correction场景搜索范围、poi_ref使用和麟/粼同音异字召回。	FALSE		待会诊		责任方：地图研发/程云；语音下发正确，用户补充目的地不应被5km周边限制卡死。	Jira PC-37186；Alchemy 1209；标准功能1433；深蓝8155地图UE入口。
2026-07-08	PC-37181｜设终点后马上取消，TTS称已取消但路线仍在	Jira：取消命中当前弹窗/切换期，程云后续定位为规划页倒计时跳转时receiver为空且MarsNavStop未按失败处理，错误返回成功TTS；Alchemy：取消为1435通用取消；工作说明：深蓝8155有地图/语音入口。	解决：转地图/语音执行修复倒计时切换期取消结果；只有真正取消成功才播“已取消导航”，失败需返回失败TTS或重试。	FALSE		可转研发		责任方：地图执行+Mars；不是再问交互，核心是不能播成功但实际未取消。	Jira PC-37181；Alchemy 1435；标准功能1421；深蓝8155地图/语音入口。
2026-07-08	PC-37175｜POI列表缺返回/关闭入口	Jira：查找POI后列表无取消/返回按键，程云说明设计上没有关闭按钮；工作说明：深蓝8155有地图UE入口，当前未读到POI列表关闭规则。	Jira：查找POI后列表无取消/返回按键，程云说明设计上没有关闭按钮；工作说明：深蓝8155有地图UE入口，当前未读到POI列表关闭规则。	FALSE		转需求		责任方：地图产品/UE后转地图研发；现设计缺入口，用户会被卡在列表态。	Jira PC-37175；深蓝8155地图UE入口。
2026-07-09	ADS-46283｜庆生过程中切R档语音未退出	Jira：庆生过程中切R档后语音框和TTS未退出，雷磊02修复后实车10次复测仍失败；谭威定位为R档禁用语音并拦截打断消息。工作说明：情景模式问题需按挡位前置和TTS策略核对。	解决：切R档时庆生语音应立即退出；优先由雷磊02改用直连TTS，若受R档限制再由谭威补状态机打断例外。	FALSE	客户接受，已关闭	已关闭	复盘后：客户已接受现有方案，按接受现状结束跟进。	客户已在Jira评论确认当前方案无问题；Jira已解决/Invalid。	Jira ADS-46283；雷磊02/彭御桐/谭威评论；git commit 1073548。
2026-07-13	ADS-46266｜语音输入“空调吹久了闷，换新风”返回暂不支持	Jira与在线测试：原话命中meta_id=1599、target=regular_ventilation；标准功能为“打开定时通风”，只继承江铃/东风，未继承深蓝。	将“换新风”定义为切换外循环，优先转语音/NLU补到深蓝已有空气循环功能点；不按车端执行故障处理。离线链路“闷”→“吹脚”另转ASR排查；若运营平台核对后确认深蓝没有可复用外循环点，再拆新增需求补项目功能。	FALSE		转需求	复核后：将“闷、换新风”定义为外循环语义；新增深蓝项目语音功能点，语音NLU/算法配置正确meta，1599定时/驻车通风不得复用。	需新增深蓝外循环语音项目点；1599不得当作外循环。	http://jira.i-tetris.com/browse/ADS-46266；https://alchemy.i-tetris.com/#/functional/points/detail/1317；https://drive.google.com/file/d/1oWjudg1eVkGgpIS-3ucQBq7CvCQyo7Wm/view
2026-07-13	ADS-46267｜语音“风一吹特别冷”先调空调后称不支持	Jira：温度上调已成功却额外播“不支持”；在线原话仅命中一条meta_id=1276温度上调操作。	转DEEPAL AI车控助手/语音运营配置：meta_id 1276成功执行时只播成功结果，不追加“不支持”；补齐1276标准功能登记。	FALSE		可转研发		吴岢的多车控标识规则不适用于本单，在线测试为单操作。	http://jira.i-tetris.com/browse/ADS-46267；https://alchemy.i-tetris.com/#/conversation/testing?id=27475f07-6fc5-47dc-bd3a-af07750b1683&env=
2026-07-13	ADS-46239｜庆生开始后语音未退出聆听	现象：庆生开始后当前语音轮次未退出聆听。正式定义：《记忆空间PRD V0.7》2.2.4.2要求庆生开始后关闭顶部语音框、庆生期间仍支持重新唤醒；这不是持续聆听。实现事实：谭威“设计如此”评论称庆生TTS占用语音通道。后续结论：周雄“转需求输入”、客户“需要庆生时退出语音”、最新“确认解决方案”已推翻原“可关闭”前提。规则边界：保留TTS/生日歌播放和重新唤醒能力，但应结束触发庆生的当前聆听轮次。	"结论：按现行PRD转研发修复，不按“设计如此”关闭。庆生启动后应结束当前聆听轮次并关闭顶部语音框；庆生TTS/生日歌可继续播放，用户如需交互需重新唤醒，仍满足庆生期间支持唤醒。
依据：记忆空间PRD V0.7 2.2.4.2
客户反馈：客户要求退出语音评论
最新方案确认：最新方案确认评论
处理：转语音客户端（语音状态机/GUI）研发修复“庆生TTS占用导致当前轮次持续聆听/语音框未关闭”的状态切换；责任方为语音客户端（语音状态机/GUI）研发。"	FALSE		可转研发		仅结束当前聆听轮次，不退出庆生应用；退出庆生仍按换挡、电话、拉起其他应用等PRD规则。	"Jira原票
记忆空间PRD V0.7 2.2.4.2
研发“设计如此”评论
周雄“转需求输入”评论
客户要求退出语音评论
最新方案确认评论"
2026-07-13	ADS-45446｜儿童记忆ID仍可执行车控	Jira：儿童记忆ID可执行车控；研发说明记忆ID仅作用深蓝/字节记忆域。PRD只定义儿童对话模式，未定义车控拦截。	关闭无效bug：儿童记忆ID不拦截普通车控；若需儿童安全限制，单独转需求定义车控白名单、拦截范围和解除机制。	FALSE		可关闭		本单未提供原始车控query，未做在线对话；结论以PRD范围和Jira评论为准。	http://jira.i-tetris.com/browse/ADS-45446；https://drive.google.com/file/d/1NrN0MoBPddT9PdMc8dUgRjHUh5TE01xG/view
2026-07-13	ADS-46286｜非P档庆生时无弹窗，无法主动结束庆生	Jira：非P档说“今天我生日”未弹窗；记忆空间PRD定义非P档庆生不展示庆生画面。	关闭无效bug：非P档庆生仅执行语音链路，不展示庆生画面或“结束庆生”按钮；不以手动结束入口验收。	FALSE		可关闭		无Jira评论；附件含视频/截图。	http://jira.i-tetris.com/browse/ADS-46286；https://drive.google.com/file/d/1NrN0MoBPddT9PdMc8dUgRjHUh5TE01xG/view
2026-07-13	ADS-46576｜儿童对话开启且有声纹时未播报昵称	Jira：已录声纹儿童开启儿童对话后播“小朋友请讲”；PRD表要求按昵称问候，儿童音色当前不支持。	转DEEPAL AI情感化语音/声纹识别：已录声纹儿童命中记忆ID后播“[昵称]请讲”；童趣音色不作为本单验收。	FALSE		可转研发		无Jira评论；V0.6明确儿童音色暂不支持。	http://jira.i-tetris.com/browse/ADS-46576；https://drive.google.com/file/d/1NrN0MoBPddT9PdMc8dUgRjHUh5TE01xG/view
2026-07-13	ADS-46307｜本地记忆ID未问候且声纹录制无响应	Jira：本地声纹记忆ID唤醒未按昵称问候，声纹详情页录入无响应；PRD要求两入口复用同一录入流程。	转声纹识别/记忆空间：同一上电周期首次唤醒命中记忆ID后播昵称问候；修复声纹详情录入入口无响应。	FALSE		可转研发		回归按首次唤醒且AI深蓝服务开启复现。	http://jira.i-tetris.com/browse/ADS-46307；https://drive.google.com/file/d/1NrN0MoBPddT9PdMc8dUgRjHUh5TE01xG/view
2026-07-13	ADS-46295｜删除记忆ID后AI深蓝服务开关状态未清理	Jira：删除记忆ID后重建仍沿用关闭的AI深蓝服务开关；PRD要求新ID默认开启、删除清理ID数据。	转记忆空间研发：删除ID清理其服务开关状态；新建ID按默认开启，长期记忆只对未删除ID生效。	FALSE		可转研发		无Jira评论。	http://jira.i-tetris.com/browse/ADS-46295；https://drive.google.com/file/d/1NrN0MoBPddT9PdMc8dUgRjHUh5TE01xG/view
2026-07-13	ADS-46282｜儿童声音识别后未使用童趣声音回复	Jira：未录声纹儿童在儿童对话开启时回复“小朋友请讲”但音色非童趣；V0.6修订明确儿童音色暂不支持。	关闭无效bug：回复“小朋友请讲”正确；儿童童趣音色当前不支持，测试不以音色判错。	FALSE		可关闭		无Jira评论。	http://jira.i-tetris.com/browse/ADS-46282；https://drive.google.com/file/d/1NrN0MoBPddT9PdMc8dUgRjHUh5TE01xG/view
2026-07-13	ADS-45200｜非P档添加记忆ID仍可进行声纹注册	Jira：非P档仍可创建记忆ID并开始声纹注册；PRD要求创建全程P档，非P档终止录入并提示。	转记忆空间/声纹录入：进入创建和录入前拦截非P档，禁止开始声纹注册并按PRD播报停车提示。	FALSE		可转研发		复现10/10，无Jira评论。	http://jira.i-tetris.com/browse/ADS-45200；https://drive.google.com/file/d/1NrN0MoBPddT9PdMc8dUgRjHUh5TE01xG/view
2026-07-13	ADS-45717｜庆生触发后挂P档不退出画面	Jira及评论确认：现有庆生需求仅定义P档切至非P档退出，未定义挂入P档退出。	关闭：挂入P档不是现行退出条件；若客户新增该条件，另提需求。	FALSE		可关闭		若新增挂P退出，需补充触发前挡位及与切R/非P退出的优先级。	http://jira.i-tetris.com/browse/ADS-45717；https://drive.google.com/file/d/1NrN0MoBPddT9PdMc8dUgRjHUh5TE01xG/view
2026-07-13	ADS-45982｜生日字段设为非必填	Jira：生日字段可不填；PRD明确生日非必填、默认空，填写后才参与生日庆生。	关闭无效bug：生日字段定义为非必填、默认空；未填写则不触发生日庆生。	FALSE		可关闭		无Jira评论。	http://jira.i-tetris.com/browse/ADS-45982；https://drive.google.com/file/d/1NrN0MoBPddT9PdMc8dUgRjHUh5TE01xG/view
2026-07-13	ADS-45187｜语音标记日志执行问题/需求定义	2026-07-17在线复测“进入擦车模式”已落meta_id=1170；标准点1013、深蓝点24294均为打开清洁模式。	关闭：语义现已正确命中；测试在目标车型回归实际打开清洁模式。	FALSE		待回归		需确认下发后实际打开目标屏幕清洁模式，不只校验meta_id。	http://jira.i-tetris.com/browse/ADS-45187；https://vos-debug.i-tetris.com/#/mark/log/detail/33634；https://alchemy.i-tetris.com/#/functional/points/detail/1013；https://alchemy.i-tetris.com/#/functional/projectPoints/detail/24294
